id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_odgj,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,6687,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1985,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,667,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1975,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1332,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1553,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,2959,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1292,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1524,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1624,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1178,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1418,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,2275,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,1373,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,3041,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,2669,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,3717,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,754,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,181,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,6839,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3826,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2048,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1987,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,2421,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1213,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1640,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1723,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1333,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1003,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1528,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1166,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1853,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,954,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2308,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,2567,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1389,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,501,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,1376,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,444,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,3241,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,586,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,2181,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,1422,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,923,ORANG,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,717,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,304,ORANG,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,6791,ORANG,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3538,ORANG,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1816,ORANG,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2882,ORANG,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,2062,ORANG,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1009,ORANG,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1699,ORANG,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1387,ORANG,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,1904,ORANG,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,442,ORANG,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1006,ORANG,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2458,ORANG,2021
