Provinsi;Persentase Balita yang Pernah Mendapat Imunisasi Campak (Persen);;
;2020;2021;2022
ACEH;39.21;38.11;38.19
SUMATERA UTARA;62.72;62.32;65.07
SUMATERA BARAT;56.40;56.03;56.48
RIAU;60.96;63.38;62.31
JAMBI;63.47;65.63;63.65
SUMATERA SELATAN;69.00;70.52;74.00
BENGKULU;75.38;76.94;76.41
LAMPUNG;73.18;75.83;76.18
KEP. BANGKA BELITUNG;65.47;71.52;70.36
KEP. RIAU;68.47;71.78;75.32
DKI JAKARTA;72.82;72.31;74.19
JAWA BARAT;67.47;66.23;69.03
JAWA TENGAH;73.36;75.30;75.67
DI YOGYAKARTA;78.67;77.50;77.88
JAWA TIMUR;70.67;70.18;71.25
BANTEN;58.65;63.81;65.55
BALI;80.18;78.37;81.69
NUSA TENGGARA BARAT;73.07;74.07;76.29
NUSA TENGGARA TIMUR;74.39;76.46;78.75
KALIMANTAN BARAT;65.88;65.02;64.65
KALIMANTAN TENGAH;65.52;66.58;67.72
KALIMANTAN SELATAN;67.89;68.63;67.75
KALIMANTAN TIMUR;68.86;73.01;70.55
KALIMANTAN UTARA;71.63;72.63;72.67
SULAWESI UTARA;74.39;75.39;77.05
SULAWESI TENGAH;69.85;71.21;71.60
SULAWESI SELATAN;73.39;73.21;73.84
SULAWESI TENGGARA;69.82;73.78;74.81
GORONTALO;75.13;76.43;72.99
SULAWESI BARAT;66.76;68.23;67.92
MALUKU;68.78;69.54;72.76
MALUKU UTARA;65.74;69.22;69.45
PAPUA BARAT;69.08;67.95;70.99
PAPUA;51.84;60.75;69.25
INDONESIA;67.82;68.67;70.14
;;;
"


Data dikutip dari Publikasi Statistik IndonesiaDiolah dari hasil Survei Sosial Ekonomi Nasional/Susenas, BPSTahun 2006 tanpa Kabupaten BantulAngka berbeda dengan yang tercantum SI-2009, karena penyesuaian metode penghitungan dengan angka pada tahun lainnya (2008-2009)Tahun 2011, 2012 dan 2013, Penghitungan berdasarkan angka proyeksi mundur


";;;
Source Url: https://www.bps.go.id/indicator/6/211/1/statistik-ketenagakerjaan.html;;;
Access Time: May 15, 2023, 6:45 am;;;
